year,event,vote,from_country,to_country,points,decade,from_region,to_region
1975,f,televoters,Belgium,Finland,0,70's,western_europe,northern_europe
1975,f,televoters,Belgium,France,2,70's,western_europe,western_europe
1975,f,televoters,Belgium,Germany,0,70's,western_europe,western_europe
1975,f,televoters,Belgium,Ireland,12,70's,western_europe,northern_europe
1975,f,televoters,Belgium,Israel,1,70's,western_europe,southern_europe
1975,f,televoters,Belgium,Italy,6,70's,western_europe,southern_europe
1975,f,televoters,Belgium,Luxembourg,0,70's,western_europe,western_europe
1975,f,televoters,Belgium,Malta,7,70's,western_europe,southern_europe
1975,f,televoters,Belgium,Monaco,0,70's,western_europe,western_europe
1975,f,televoters,Belgium,Norway,0,70's,western_europe,northern_europe
1975,f,televoters,Belgium,Portugal,0,70's,western_europe,southern_europe
1975,f,televoters,Belgium,Spain,4,70's,western_europe,southern_europe
1975,f,televoters,Belgium,Sweden,0,70's,western_europe,northern_europe
1975,f,televoters,Belgium,Switzerland,8,70's,western_europe,western_europe
1975,f,televoters,Belgium,The Netherlands,3,70's,western_europe,western_europe
1975,f,televoters,Belgium,Turkey,0,70's,western_europe,southern_europe
1975,f,televoters,Belgium,United Kingdom,10,70's,western_europe,northern_europe
1975,f,televoters,Belgium,Yugoslavia,5,70's,western_europe,former_countries
1975,f,televoters,Finland,Belgium,0,70's,northern_europe,western_europe
1975,f,televoters,Finland,France,0,70's,northern_europe,western_europe
1975,f,televoters,Finland,Germany,0,70's,northern_europe,western_europe
1975,f,televoters,Finland,Ireland,1,70's,northern_europe,northern_europe
1975,f,televoters,Finland,Israel,3,70's,northern_europe,southern_europe
1975,f,televoters,Finland,Italy,12,70's,northern_europe,southern_europe
1975,f,televoters,Finland,Luxembourg,5,70's,northern_europe,western_europe
1975,f,televoters,Finland,Malta,0,70's,northern_europe,southern_europe
1975,f,televoters,Finland,Monaco,2,70's,northern_europe,western_europe
1975,f,televoters,Finland,Norway,0,70's,northern_europe,northern_europe
1975,f,televoters,Finland,Portugal,0,70's,northern_europe,southern_europe
1975,f,televoters,Finland,Spain,8,70's,northern_europe,southern_europe
1975,f,televoters,Finland,Sweden,6,70's,northern_europe,northern_europe
1975,f,televoters,Finland,Switzerland,4,70's,northern_europe,western_europe
1975,f,televoters,Finland,The Netherlands,10,70's,northern_europe,western_europe
1975,f,televoters,Finland,Turkey,0,70's,northern_europe,southern_europe
1975,f,televoters,Finland,United Kingdom,7,70's,northern_europe,northern_europe
1975,f,televoters,Finland,Yugoslavia,0,70's,northern_europe,former_countries
1975,f,televoters,France,Belgium,0,70's,western_europe,western_europe
1975,f,televoters,France,Finland,0,70's,western_europe,northern_europe
1975,f,televoters,France,Germany,0,70's,western_europe,western_europe
1975,f,televoters,France,Ireland,6,70's,western_europe,northern_europe
1975,f,televoters,France,Israel,1,70's,western_europe,southern_europe
1975,f,televoters,France,Italy,4,70's,western_europe,southern_europe
1975,f,televoters,France,Luxembourg,3,70's,western_europe,western_europe
1975,f,televoters,France,Malta,8,70's,western_europe,southern_europe
1975,f,televoters,France,Monaco,0,70's,western_europe,western_europe
1975,f,televoters,France,Norway,0,70's,western_europe,northern_europe
1975,f,televoters,France,Portugal,2,70's,western_europe,southern_europe
1975,f,televoters,France,Spain,0,70's,western_europe,southern_europe
1975,f,televoters,France,Sweden,7,70's,western_europe,northern_europe
1975,f,televoters,France,Switzerland,10,70's,western_europe,western_europe
1975,f,televoters,France,The Netherlands,5,70's,western_europe,western_europe
1975,f,televoters,France,Turkey,0,70's,western_europe,southern_europe
1975,f,televoters,France,United Kingdom,12,70's,western_europe,northern_europe
1975,f,televoters,France,Yugoslavia,0,70's,western_europe,former_countries
1975,f,televoters,Germany,Belgium,7,70's,western_europe,western_europe
1975,f,televoters,Germany,Finland,12,70's,western_europe,northern_europe
1975,f,televoters,Germany,France,0,70's,western_europe,western_europe
1975,f,televoters,Germany,Ireland,0,70's,western_europe,northern_europe
1975,f,televoters,Germany,Israel,1,70's,western_europe,southern_europe
1975,f,televoters,Germany,Italy,4,70's,western_europe,southern_europe
1975,f,televoters,Germany,Luxembourg,0,70's,western_europe,western_europe
1975,f,televoters,Germany,Malta,0,70's,western_europe,southern_europe
1975,f,televoters,Germany,Monaco,3,70's,western_europe,western_europe
1975,f,televoters,Germany,Norway,0,70's,western_europe,northern_europe
1975,f,televoters,Germany,Portugal,0,70's,western_europe,southern_europe
1975,f,televoters,Germany,Spain,5,70's,western_europe,southern_europe
1975,f,televoters,Germany,Sweden,0,70's,western_europe,northern_europe
1975,f,televoters,Germany,Switzerland,6,70's,western_europe,western_europe
