"","word","frequency","year","position","country","song"
"1","buck",8,2018,"first","Israel","Toy"
"2","hey",8,2018,"first","Israel","Toy"
"3","mhm",6,2018,"first","Israel","Toy"
"4","i’m",4,2018,"first","Israel","Toy"
"5","boy",3,2018,"first","Israel","Toy"
"6","bucka",3,2018,"first","Israel","Toy"
"7","hm",3,2018,"first","Israel","Toy"
"8","la",3,2018,"first","Israel","Toy"
"9","ouch",3,2018,"first","Israel","Toy"
"10","pam",3,2018,"first","Israel","Toy"
"11","ree",3,2018,"first","Israel","Toy"
"12","stupid",3,2018,"first","Israel","Toy"
"13","toy",3,2018,"first","Israel","Toy"
"14","don’t",2,2018,"first","Israel","Toy"
"15","he’s",2,2018,"first","Israel","Toy"
"16","hoo",2,2018,"first","Israel","Toy"
"17","pa",2,2018,"first","Israel","Toy"
"18","you’re",2,2018,"first","Israel","Toy"
"19","283pts",1,2018,"first","Israel","Toy"
"20","baka",1,2018,"first","Israel","Toy"
"21","barbie",1,2018,"first","Israel","Toy"
"22","bear’s",1,2018,"first","Israel","Toy"
"23","beat",1,2018,"first","Israel","Toy"
"24","beautiful",1,2018,"first","Israel","Toy"
"25","boys",1,2018,"first","Israel","Toy"
"26","care",1,2018,"first","Israel","Toy"
"27","creature",1,2018,"first","Israel","Toy"
"28","dancing",1,2018,"first","Israel","Toy"
"29","divine",1,2018,"first","Israel","Toy"
"30","dolls",1,2018,"first","Israel","Toy"
"31","final",1,2018,"first","Israel","Toy"
"32","forget",1,2018,"first","Israel","Toy"
"33","forgot",1,2018,"first","Israel","Toy"
"34","home",1,2018,"first","Israel","Toy"
"35","i’ll",1,2018,"first","Israel","Toy"
"36","leave",1,2018,"first","Israel","Toy"
"37","mada",1,2018,"first","Israel","Toy"
"38","modern",1,2018,"first","Israel","Toy"
"39","noise",1,2018,"first","Israel","Toy"
"40","phone",1,2018,"first","Israel","Toy"
"41","pikachu",1,2018,"first","Israel","Toy"
"42","play",1,2018,"first","Israel","Toy"
"43","preachers",1,2018,"first","Israel","Toy"
"44","regret",1,2018,"first","Israel","Toy"
"45","running",1,2018,"first","Israel","Toy"
"46","semi",1,2018,"first","Israel","Toy"
"47","simon",1,2018,"first","Israel","Toy"
"48","smart",1,2018,"first","Israel","Toy"
"49","taking",1,2018,"first","Israel","Toy"
"50","teach",1,2018,"first","Israel","Toy"
"51","teddy",1,2018,"first","Israel","Toy"
"52","time",1,2018,"first","Israel","Toy"
"53","turram",1,2018,"first","Israel","Toy"
"54","watch",1,2018,"first","Israel","Toy"
"55","woman",1,2018,"first","Israel","Toy"
"56","ain’t",6,2018,"last","Finland","Monsters"
"57","i’m",5,2018,"last","Finland","Monsters"
"58","gonna",3,2018,"last","Finland","Monsters"
"59","scared",3,2018,"last","Finland","Monsters"
"60","ready",2,2018,"last","Finland","Monsters"
"61","108pts",1,2018,"last","Finland","Monsters"
"62","anymore",1,2018,"last","Finland","Monsters"
"63","army",1,2018,"last","Finland","Monsters"
"64","bed",1,2018,"last","Finland","Monsters"
"65","closed",1,2018,"last","Finland","Monsters"
"66","couldn’t",1,2018,"last","Finland","Monsters"
"67","creatures",1,2018,"last","Finland","Monsters"
"68","demons",1,2018,"last","Finland","Monsters"
"69","dice",1,2018,"last","Finland","Monsters"
"70","eyes",1,2018,"last","Finland","Monsters"
"71","feel",1,2018,"last","Finland","Monsters"
"72","final",1,2018,"last","Finland","Monsters"
"73","found",1,2018,"last","Finland","Monsters"
"74","friends",1,2018,"last","Finland","Monsters"
"75","hiding",1,2018,"last","Finland","Monsters"
"76","hold",1,2018,"last","Finland","Monsters"
"77","it’s",1,2018,"last","Finland","Monsters"
"78","lead",1,2018,"last","Finland","Monsters"
"79","life",1,2018,"last","Finland","Monsters"
"80","light",1,2018,"last","Finland","Monsters"
"81","monsters",1,2018,"last","Finland","Monsters"
"82","numb",1,2018,"last","Finland","Monsters"
"83","roll",1,2018,"last","Finland","Monsters"
"84","scare",1,2018,"last","Finland","Monsters"
"85","semi",1,2018,"last","Finland","Monsters"
"86","strong",1,2018,"last","Finland","Monsters"
"87","tear",1,2018,"last","Finland","Monsters"
"88","tonight",1,2018,"last","Finland","Monsters"
"89","walls",1,2018,"last","Finland","Monsters"
"90","worst",1,2018,"last","Finland","Monsters"
"91","mess",4,2017,"first","Bulgaria","Beautiful Mess"
"92","love",3,2017,"first","Bulgaria","Beautiful Mess"
"93","untouchable",3,2017,"first","Bulgaria","Beautiful Mess"
"94","beautiful",2,2017,"first","Bulgaria","Beautiful Mess"
"95","breathe",2,2017,"first","Bulgaria","Beautiful Mess"
"96","climb",2,2017,"first","Bulgaria","Beautiful Mess"
"97","deep",2,2017,"first","Bulgaria","Beautiful Mess"
"98","don’t",2,2017,"first","Bulgaria","Beautiful Mess"
"99","stay",2,2017,"first","Bulgaria","Beautiful Mess"
"100","tonight",2,2017,"first","Bulgaria","Beautiful Mess"
"101","water",2,2017,"first","Bulgaria","Beautiful Mess"
"102","403pts",1,2017,"first","Bulgaria","Beautiful Mess"
"103","black",1,2017,"first","Bulgaria","Beautiful Mess"
"104","colours",1,2017,"first","Bulgaria","Beautiful Mess"
"105","fade",1,2017,"first","Bulgaria","Beautiful Mess"
"106","final",1,2017,"first","Bulgaria","Beautiful Mess"
"107","fire",1,2017,"first","Bulgaria","Beautiful Mess"
"108","grey",1,2017,"first","Bulgaria","Beautiful Mess"
"109","heads",1,2017,"first","Bulgaria","Beautiful Mess"
"110","lights",1,2017,"first","Bulgaria","Beautiful Mess"
"111","line",1,2017,"first","Bulgaria","Beautiful Mess"
"112","lose",1,2017,"first","Bulgaria","Beautiful Mess"
"113","matter",1,2017,"first","Bulgaria","Beautiful Mess"
"114","semi",1,2017,"first","Bulgaria","Beautiful Mess"
"115","wall",1,2017,"first","Bulgaria","Beautiful Mess"
"116","we’re",1,2017,"first","Bulgaria","Beautiful Mess"
"117","wire",1,2017,"first","Bulgaria","Beautiful Mess"
"118","lover",32,2017,"last","Spain","Do It for Your Lover"
"119","baby",8,2017,"last","Spain","Do It for Your Lover"
"120","clap",8,2017,"last","Spain","Do It for Your Lover"
"121","hands",8,2017,"last","Spain","Do It for Your Lover"
"122","love",8,2017,"last","Spain","Do It for Your Lover"
"123","care",4,2017,"last","Spain","Do It for Your Lover"
"124","así",2,2017,"last","Spain","Do It for Your Lover"
"125","la",2,2017,"last","Spain","Do It for Your Lover"
"126","5pts",1,2017,"last","Spain","Do It for Your Lover"
"127","ahí",1,2017,"last","Spain","Do It for Your Lover"
"128","cierres",1,2017,"last","Spain","Do It for Your Lover"
"129","close",1,2017,"last","Spain","Do It for Your Lover"
"130","coge",1,2017,"last","Spain","Do It for Your Lover"
"131","deja",1,2017,"last","Spain","Do It for Your Lover"
"132","desaparezcan",1,2017,"last","Spain","Do It for Your Lover"
"133","disappear",1,2017,"last","Spain","Do It for Your Lover"
"134","dolor",1,2017,"last","Spain","Do It for Your Lover"
"135","don’t",1,2017,"last","Spain","Do It for Your Lover"
"136","door",1,2017,"last","Spain","Do It for Your Lover"
"137","el",1,2017,"last","Spain","Do It for Your Lover"
"138","esa",1,2017,"last","Spain","Do It for Your Lover"
"139","final",1,2017,"last","Spain","Do It for Your Lover"
"140","fly",1,2017,"last","Spain","Do It for Your Lover"
"141","grito",1,2017,"last","Spain","Do It for Your Lover"
"142","hand",1,2017,"last","Spain","Do It for Your Lover"
"143","it’s",1,2017,"last","Spain","Do It for Your Lover"
"144","los",1,2017,"last","Spain","Do It for Your Lover"
"145","mano",1,2017,"last","Spain","Do It for Your Lover"
"146","mi",1,2017,"last","Spain","Do It for Your Lover"
"147","pain",1,2017,"last","Spain","Do It for Your Lover"
"148","pega",1,2017,"last","Spain","Do It for Your Lover"
"149","pena",1,2017,"last","Spain","Do It for Your Lover"
"150","por",1,2017,"last","Spain","Do It for Your Lover"
"151","puerta",1,2017,"last","Spain","Do It for Your Lover"
"152","sadness",1,2017,"last","Spain","Do It for Your Lover"
"153","sal",1,2017,"last","Spain","Do It for Your Lover"
"154","shout",1,2017,"last","Spain","Do It for Your Lover"
"155","siempre",1,2017,"last","Spain","Do It for Your Lover"
"156","tristeza",1,2017,"last","Spain","Do It for Your Lover"
"157","tuyos",1,2017,"last","Spain","Do It for Your Lover"
"158","vale",1,2017,"last","Spain","Do It for Your Lover"
"159","verás",1,2017,"last","Spain","Do It for Your Lover"
"160","vuela",1,2017,"last","Spain","Do It for Your Lover"
"161","worth",1,2017,"last","Spain","Do It for Your Lover"
"162","you’ll",1,2017,"last","Spain","Do It for Your Lover"
"163","couldn’t",14,2016,"first","Ukraine","1944"
"164","spend",12,2016,"first","Ukraine","1944"
"165","youth",12,2016,"first","Ukraine","1944"
"166","peace",10,2016,"first","Ukraine","1944"
"167","time",8,2016,"first","Ukraine","1944"
"168","dies",7,2016,"first","Ukraine","1944"
"169","don’t",7,2016,"first","Ukraine","1944"
"170","gods",7,2016,"first","Ukraine","1944"
"171","humanity",7,2016,"first","Ukraine","1944"
"172","soul",7,2016,"first","Ukraine","1944"
"173","souls",7,2016,"first","Ukraine","1944"
"174","swallow",7,2016,"first","Ukraine","1944"
"175","bu",4,2016,"first","Ukraine","1944"
"176","build",4,2016,"first","Ukraine","1944"
"177","free",4,2016,"first","Ukraine","1944"
"178","future",4,2016,"first","Ukraine","1944"
"179","happiest",4,2016,"first","Ukraine","1944"
"180","heart",4,2016,"first","Ukraine","1944"
"181","live",4,2016,"first","Ukraine","1944"
"182","love",4,2016,"first","Ukraine","1944"
